n_step,n_eval,f_best,f_avg,f_std,test_f1_best
0,1,0.984172660857439,0.984172660857439,0.0,0.0186794170980117
200,4976,0.6685666739940643,0.7393275904655456,0.0223620247731793,0.292319721624821
300,7476,0.5961187183856964,0.6545382070541382,0.0258846664492859,0.3806962435004077
400,26,0.5582123696804047,0.626116498708725,0.025909232380975863,0.43021319787713547
