n_step,f_best,f_avg,f_std,test_f1_best
1,0.9550740450273106,0.9550740450273106,0.0,0.0484899551708944
10,0.9160196543732926,0.9507072723762928,0.0140433608372963,0.0870508816540796
20,0.8792049000921421,0.9362175686408852,0.0199925144828689,0.1015955631509159
30,0.8782313493119582,0.9291161377894116,0.0196026855491647,0.103466775528442
40,0.8749277975321789,0.9159981358933738,0.0177267429347444,0.1150522586880432
50,0.8455631179779717,0.8922680660066966,0.0165427185061389,0.1606675640686126
60,0.8401996161673224,0.8905654629265042,0.0165148179159024,0.1429089011959042
70,0.814907110188759,0.8738693162017415,0.0263544401670228,0.16376953420924
80,0.8030875897746541,0.8573007562366177,0.0249609199711793,0.1607642590101686
90,0.7786442829127777,0.8489153408687382,0.0195590264268442,0.1977617386468892
100,0.7786442829127777,0.8446110740443007,0.0154299406047405,0.1977617386468892
110,0.7786442829127777,0.8450843226799053,0.0245443139169123,0.1977617386468892
120,0.7759224515949981,0.8421712826010197,0.0250317319735233,0.188021694335892
130,0.7759224515949981,0.8276106304123731,0.0219359639172664,0.188021694335892
140,0.7759224515949981,0.8258181498696882,0.0276336011259393,0.188021694335892
150,0.7627190868816182,0.8151284014519454,0.0226536657061414,0.2051132399356975
160,0.7622378127339298,0.8226250195068976,0.0288389824585624,0.2120514048756721
170,0.747500829800773,0.8103484944524972,0.0269100575119457,0.2358452267248384
180,0.745968732831136,0.7882390949198272,0.023888585763731,0.2242521588795202
190,0.7327164597415624,0.7825641456476867,0.0210071884725048,0.2541038640209
200,0.7297208997469534,0.7755459254492529,0.0140478664352381,0.2529973781513585
210,0.7297208997469534,0.7932841407516069,0.0261265874558231,0.2529973781513585
220,0.7297208997469534,0.780947294326252,0.0209804452239624,0.2529973781513585
230,0.7285139520990416,0.7633007835541977,0.0140025883513422,0.239723317812403
240,0.7268901136352002,0.7716169725462694,0.018840082066241,0.2548947461049738
250,0.7188642115030837,0.766600048608306,0.0199937919886153,0.2612966566094995
260,0.7172856870487322,0.7594843775517212,0.0217579200770191,0.2534522358281473
270,0.7058422410901635,0.7511497174262802,0.0194337288426351,0.2519246910875556
280,0.6979002058288124,0.736416524977793,0.0155343530546491,0.2606129761034207
290,0.6979002058288124,0.742729703059356,0.0213003785687177,0.2606129761034207
