n_step,f_best,f_avg,f_std,test_f1_best
10,0.8983643409469793,0.9446774260126934,0.0167245231495846,0.0946291583321605
20,0.8980839961729471,0.9481242772960228,0.0161628643214854,0.0951259718214036
30,0.8873920101726589,0.9417408973919658,0.012414751436785,0.0930597371960059
40,0.8873920101726589,0.9343616673228023,0.0185920396597491,0.0930597371960059
50,0.8800686316183487,0.9258806390833504,0.0149177615394353,0.1053095723269389
60,0.8800686316183487,0.9308061444073592,0.0140401100352249,0.1053095723269389
70,0.8797432575728483,0.9253859209919374,0.0139916492685958,0.0947312963890208
80,0.8797432575728483,0.928300523769174,0.0147107373260425,0.0947312963890208
90,0.8711515393539473,0.9214530592486646,0.013024291403535,0.1244642574565018
100,0.8707046255012818,0.9148675597296212,0.0183080450410536,0.1099227668913707
110,0.8613001501011508,0.9156936041194428,0.0178021164602748,0.1156703245945975
120,0.8613001501011508,0.914632598376342,0.0166373483303486,0.1156703245945975
130,0.8565717205553001,0.899972623616563,0.016777852269466,0.1273538814956791
140,0.8427554784352822,0.8952265842214414,0.021733725141288,0.1342112659613502
150,0.8381598081340643,0.8943302238130495,0.0166180554089071,0.1531731140357665
160,0.8184135731043268,0.8887162854816667,0.0248231953580421,0.1726358919998281
170,0.8184135731043268,0.8975746556217561,0.0169477858028825,0.1726358919998281
180,0.8184135731043268,0.8906140991694287,0.0172814413978114,0.1726358919998281
190,0.8184135731043268,0.8811889009492267,0.0192177290474895,0.1726358919998281
200,0.8184135731043268,0.8881930735475845,0.0164045851176685,0.1726358919998281
210,0.8184135731043268,0.8692154856735861,0.0163556413278201,0.1726358919998281
220,0.8062954633786679,0.8719049125884942,0.0236071832048182,0.1743979977676526
230,0.8062954633786679,0.8641702455335964,0.0197463147943873,0.1743979977676526
240,0.8062954633786679,0.8695053830319036,0.022550916110491,0.1743979977676526
250,0.7996127591213442,0.8625976902034881,0.0200581171205793,0.1843098943354328
260,0.7996127591213442,0.864922346834101,0.0218418730997146,0.1843098943354328
270,0.7996127591213442,0.8521725096094064,0.0180316746943011,0.1843098943354328
280,0.7996127591213442,0.8583630888854358,0.0223849193515573,0.1843098943354328
290,0.7996127591213442,0.8548218004090942,0.021328933866293,0.1843098943354328
300,0.7996127591213442,0.864270347508674,0.0183838653616557,0.1843098943354328
310,0.7996127591213442,0.86165826769185,0.021443699605421,0.1843098943354328
320,0.7996127591213442,0.8568776556323701,0.022630267759891,0.1843098943354328
330,0.7971687050477272,0.8519927459792864,0.0198234858836245,0.182152148375895
340,0.7971687050477272,0.8593792676131132,0.0217551863628292,0.182152148375895
350,0.7964226026035288,0.8623881745121685,0.0273558271258199,0.1849901895354609
360,0.7873026604232505,0.841177088809356,0.0181626487645982,0.1856109053524239
370,0.7873026604232505,0.8577121453076934,0.0231779507516704,0.1856109053524239
380,0.7873026604232505,0.8495188892816826,0.0291273067088717,0.1856109053524239
390,0.7873026604232505,0.8416626151861938,0.023485316658336,0.1856109053524239
400,0.7616170674934752,0.8442817605801383,0.0216708100116836,0.2170368732920097
410,0.7616170674934752,0.8483776602489557,0.0236502598776394,0.2170368732920097
420,0.7616170674934752,0.8327399757903705,0.0203122251520735,0.2170368732920097
430,0.7616170674934752,0.8366987858714704,0.0252274484915205,0.2170368732920097
440,0.7616170674934752,0.8431311547201562,0.0264566643230647,0.2170368732920097
450,0.7616170674934752,0.8261586912020644,0.0204246195501751,0.2170368732920097
460,0.7616170674934752,0.8325682462553367,0.0220331974310615,0.2170368732920097
470,0.7616170674934752,0.822829123639919,0.0259052964101172,0.2170368732920097
480,0.7616170674934752,0.8303768851661544,0.0235363909620372,0.2170368732920097
490,0.7616170674934752,0.8219876581617335,0.0214453594165395,0.2170368732920097
500,0.7616170674934752,0.8201107824372843,0.0208960040713926,0.2170368732920097
510,0.7507464221630411,0.8041821131182056,0.0209585486160224,0.2190908212482273
520,0.7507464221630411,0.8272020008493577,0.0224656778381566,0.2190908212482273
530,0.7507464221630411,0.8123687027723409,0.0224097747384595,0.2190908212482273
540,0.7507464221630411,0.8135334339164931,0.0167665971060749,0.2190908212482273
550,0.7507464221630411,0.8177381121339112,0.0301062400275507,0.2190908212482273
560,0.7507464221630411,0.8265276253107242,0.0166744374703406,0.2190908212482273
570,0.7507464221630411,0.806550376310503,0.021618162793407,0.2190908212482273
580,0.7507464221630411,0.8118204546219584,0.0195655839209519,0.2190908212482273
590,0.7507464221630411,0.8183621158915958,0.0276353304804157,0.2190908212482273
600,0.7456057059686667,0.8073557132719991,0.0234206207602974,0.222745208489234
610,0.7456057059686667,0.8064303303961832,0.0225601374938974,0.222745208489234
620,0.7417491570357193,0.8061213690997115,0.0198722782014195,0.2265394616375699
630,0.7350222175508292,0.8050465438178015,0.0343450493901001,0.2255198130945907
640,0.7185473187308525,0.7861057149352326,0.0251238065744531,0.2767080109835855
650,0.7085800390792544,0.7760744764641101,0.0219303835041274,0.2496426277951989
660,0.7085800390792544,0.7914600111132012,0.0278208578160759,0.2496426277951989
670,0.7085800390792544,0.7862661537900342,0.0193148104757372,0.2496426277951989
680,0.7085800390792544,0.7858059559850756,0.0232902858205018,0.2496426277951989
690,0.7085800390792544,0.7987562295159129,0.0261992288497783,0.2496426277951989
700,0.7085800390792544,0.8043317215169339,0.022663603291877,0.2496426277951989
710,0.7085800390792544,0.7873245304224953,0.0250359348162923,0.2496426277951989
720,0.7085800390792544,0.7797500320476299,0.0161131982801903,0.2496426277951989
730,0.7085800390792544,0.7992002848975285,0.0267418450712862,0.2496426277951989
740,0.7085800390792544,0.8012015317784067,0.0281049952569021,0.2496426277951989
750,0.7085800390792544,0.7818935973990606,0.0233339904823157,0.2496426277951989
760,0.7085800390792544,0.7786576805815204,0.0212868269992704,0.2496426277951989
